species,longitude,latitude
Acinonyx_jubatus,38.1639,-0.1173
Acinonyx_jubatus,40.0922,-1.7329
Acinonyx_jubatus,39.4752,-1.5679
Acinonyx_jubatus,39.5206,-1.0869
Acinonyx_jubatus,37.9554,-0.2295
Acinonyx_jubatus,38.19,-0.0881
Acinonyx_jubatus,38.0231,-0.0588
Acinonyx_jubatus,40.5292,-2.5266
Acinonyx_jubatus,1.52792,11.22166
Acinonyx_jubatus,1.60327,11.39525
Acinonyx_jubatus,1.24072,11.25947
Acinonyx_jubatus,1.90335,11.37827
Acinonyx_jubatus,1.52102,11.18742
Acinonyx_jubatus,1.51296,11.19684
Acinonyx_jubatus,1.61256,11.38599
Acinonyx_jubatus,1.47014,11.09527
Acinonyx_jubatus,1.24075,11.25137
Acinonyx_jubatus,1.61218,11.38677
Acinonyx_jubatus,3.089473,9.873993
Acinonyx_jubatus,3.089503,9.873963
Acinonyx_jubatus,1.90322,11.37813
Acinonyx_jubatus,1.74888,11.37504
Acinonyx_jubatus,1.49869,11.09742
Acinonyx_jubatus,1.50196,11.09752
Acinonyx_jubatus,1.47837,11.45255
Acinonyx_jubatus,1.48782,11.09641
Acinonyx_jubatus,1.61238,11.38355
Acinonyx_jubatus,1.60043,11.39708
Acinonyx_jubatus,1.51338,11.19611
Acinonyx_jubatus,1.243,11.22756
Acinonyx_jubatus,1.449156,11.360181
Acinonyx_jubatus,1.20181,10.99729
Acinonyx_jubatus,1.50079,11.09758
Acinonyx_jubatus,1.73741,11.4087
Acinonyx_jubatus,2.1311,11.380233
Acinonyx_jubatus,1.589594,11.280208
Acinonyx_jubatus,1.688104,11.38705
Acinonyx_jubatus,1.1166,10.9333
Acinonyx_jubatus,2.5833,12.0
Acinonyx_jubatus,1.546933,11.316075
Acinonyx_jubatus,1.90331,11.37831
Acinonyx_jubatus,1.24064,11.25955
Acinonyx_jubatus,1.61209,11.38686
Acinonyx_jubatus,1.47008,11.09533
Acinonyx_jubatus,1.24073,11.25139
Acinonyx_jubatus,1.51295,11.19685
Acinonyx_jubatus,1.52097,11.18747
Acinonyx_jubatus,1.61245,11.3861
Acinonyx_jubatus,1.24291,11.22765
Acinonyx_jubatus,1.4781,11.452
Acinonyx_jubatus,1.6123,11.38363
Acinonyx_jubatus,1.74879,11.37513
Acinonyx_jubatus,1.90316,11.37819
Acinonyx_jubatus,1.50189,11.09759
Acinonyx_jubatus,1.60042,11.39709
Acinonyx_jubatus,1.51336,11.19613
