Acinonyx jubatus
Aepyceros melampus
Alcelaphus buselaphus
Canis aureus
Canis mesomelas
Caracal caracal
Connochaetes taurinus
Crocuta crocuta
Damaliscus lunatus
Equus quagga
Nanger granti
Eudorcas thomsonii
Giraffa camelopardalis
Heterohyrax brucei
Hippopotamus amphibius
Kobus ellipsiprymnus
Leptailurus serval
Loxodonta africana
Lycaon pictus
Madoqua kirkii
Ourebia ourebi
Panthera leo
Panthera pardus
Papio anubis
Pedetes capensis
Phacochoerus africanus
Procavia capensis
Redunca redunca
Rhabdomys pumilio
Syncerus caffer
Tragelaphus oryx
Tragelaphus scriptus
