pred,prey
Panthera_pardus,Acinonyx_jubatus
Acinonyx_jubatus,Aepyceros_melampus
Crocuta_crocuta,Aepyceros_melampus
Lycaon_pictus,Aepyceros_melampus
Panthera_leo,Aepyceros_melampus
Panthera_pardus,Aepyceros_melampus
Crocuta_crocuta,Alcelaphus_buselaphus
Lycaon_pictus,Alcelaphus_buselaphus
Panthera_leo,Alcelaphus_buselaphus
Panthera_pardus,Alcelaphus_buselaphus
Panthera_pardus,Canis_aureus
Panthera_pardus,Canis_mesomelas
Acinonyx_jubatus,Connochaetes_taurinus
Canis_aureus,Connochaetes_taurinus
Crocuta_crocuta,Connochaetes_taurinus
Lycaon_pictus,Connochaetes_taurinus
Panthera_leo,Connochaetes_taurinus
Panthera_pardus,Connochaetes_taurinus
Panthera_leo,Crocuta_crocuta
Crocuta_crocuta,Damaliscus_lunatus
Lycaon_pictus,Damaliscus_lunatus
Panthera_leo,Damaliscus_lunatus
Panthera_pardus,Damaliscus_lunatus
Canis_aureus,Equus_quagga
Crocuta_crocuta,Equus_quagga
Lycaon_pictus,Equus_quagga
Panthera_leo,Equus_quagga
Panthera_pardus,Equus_quagga
Acinonyx_jubatus,Nanger_granti
Canis_aureus,Nanger_granti
Crocuta_crocuta,Nanger_granti
Lycaon_pictus,Nanger_granti
Panthera_leo,Nanger_granti
Panthera_pardus,Nanger_granti
Acinonyx_jubatus,Eudorcas_thomsonii
Canis_aureus,Eudorcas_thomsonii
Crocuta_crocuta,Eudorcas_thomsonii
Lycaon_pictus,Eudorcas_thomsonii
Panthera_leo,Eudorcas_thomsonii
Panthera_pardus,Eudorcas_thomsonii
Panthera_leo,Giraffa_camelopardalis
Panthera_pardus,Heterohyrax_brucei
Crocuta_crocuta,Kobus_ellipsiprymnus
Lycaon_pictus,Kobus_ellipsiprymnus
Panthera_leo,Kobus_ellipsiprymnus
Panthera_pardus,Kobus_ellipsiprymnus
Panthera_pardus,Leptailurus_serval
Acinonyx_jubatus,Madoqua_kirkii
Canis_mesomelas,Madoqua_kirkii
Caracal_caracal,Madoqua_kirkii
Crocuta_crocuta,Madoqua_kirkii
Lycaon_pictus,Madoqua_kirkii
Panthera_leo,Madoqua_kirkii
Panthera_pardus,Madoqua_kirkii
Acinonyx_jubatus,Ourebia_ourebi
Crocuta_crocuta,Ourebia_ourebi
Lycaon_pictus,Ourebia_ourebi
Panthera_leo,Ourebia_ourebi
Panthera_pardus,Ourebia_ourebi
Panthera_pardus,Papio_anubis
Caracal_caracal,Pedetes_capensis
Panthera_pardus,Pedetes_capensis
Acinonyx_jubatus,Phacochoerus_africanus
Crocuta_crocuta,Phacochoerus_africanus
Lycaon_pictus,Phacochoerus_africanus
Panthera_leo,Phacochoerus_africanus
Panthera_pardus,Phacochoerus_africanus
Caracal_caracal,Procavia_capensis
Acinonyx_jubatus,Redunca_redunca
Crocuta_crocuta,Redunca_redunca
Lycaon_pictus,Redunca_redunca
Panthera_leo,Redunca_redunca
Panthera_pardus,Redunca_redunca
Caracal_caracal,Rhabdomys_pumilio
Leptailurus_serval,Rhabdomys_pumilio
Lycaon_pictus,Rhabdomys_pumilio
Panthera_leo,Rhabdomys_pumilio
Panthera_pardus,Rhabdomys_pumilio
Panthera_leo,Syncerus_caffer
Panthera_leo,Tragelaphus_oryx
Panthera_pardus,Tragelaphus_oryx
Lycaon_pictus,Tragelaphus_scriptus
Panthera_leo,Tragelaphus_scriptus
Panthera_pardus,Tragelaphus_scriptus
