species,level
Eragrostis_tenuifolia,1.0
Eustachys_paspaloides,1.0
Sporobolus_pyramidalis,1.0
Blepharis_acanthodioides,1.0
Heliotropium_steudneri,1.0
Setaria_pallidefusca,1.0
Acalypha_fruticosa,1.0
Lonchocarpus_eriocalyx,1.0
Tricholaena_teneriffae,1.0
Digitaria_milanjiana,1.0
Giraffa_camelopardalis,2.0000000000000004
Loxodonta_africana,2.0000000000000004
Duosperma_kilimandscharica,1.0
Dinebra_retroflexa,1.0
Canis_mesomelas,3.0000000000000013
Indigofera_hochstetteri,1.0
Sida_spp.,1.0
Hippopotamus_amphibius,2.0
Solanum_nigrum,1.0
Nanger_granti,1.9999999999999993
Pupalia_lappacea,1.0
Tragelaphus_scriptus,2.0
Pavonia_patens,1.0
Albizia_harveyi,1.0
Hibiscus_lunariifolius,1.0
Panthera_leo,3.0555555555555554
Pennisetum_mezianum,1.0
Harpachne_schimperi,1.0
Digitaria_diagonalis,1.0
Papio_anubis,2.0
Albuca_spp.,1.0
Solanum_dennekense,1.0
Echinochloa_haploclada,1.0
Sporobolus_pellucidus,1.0
Aepyceros_melampus,1.9999999999999993
Pennisetum_stramineum,1.0
Panicum_coloratum,1.0
Ficus_ingens,1.0
Panicum_maximum,1.0
Commiphora_trothae,1.0
Croton_dichogamus,1.0
Eragrostis_aspera,1.0
Acacia_robusta,1.0
Cissus_rotundifolia,1.0
Redunca_redunca,2.0
Caracal_caracal,2.999999999999999
Acacia_tortilis,1.0
Sansevieria_ehrenbergii,1.0
Hibiscus_spp.,1.0
Bothriochloa_insculpta,1.0
Sporobolus_fimbriatus,1.0
Hyparrhenia_rufa,1.0
Hypoestes_forskaolii,1.0
Sporobolus_festivus,1.0
Kedrostis_foetidissima,1.0
Rhabdomys_pumilio,2.0
Pennisetum_ciliare,1.0
Achyranthes_aspera,1.0
Rhoicissus_revoilii,1.0
Allophylus_rubifolius,1.0
Olea_spp.,1.0
Hoslundia_opposita,1.0
Hyperthelia_dissoluta,1.0
Chloris_pycnothrix,1.0
Kigelia_africana,1.0
Panicum_deustum,1.0
Andropogon_schirensis,1.0
Ocimum_spp.,1.0
Psilolemma_jaegeri,1.0
Solanum_incanum,1.0
Heterohyrax_brucei,2.0000000000000004
Abutilon_spp.,1.0
Hyparrhenia_filipendula,1.0
Syncerus_caffer,2.0
Microchloa_kunthii,1.0
Ziziphus_spp.,1.0
Phragmites_mauritianus,1.0
Maerua_cafra,1.0
Pedetes_capensis,2.0
Eragrostis_cilianensis,1.0
Capparis_tomentosa,1.0
Croton_macrostachyus,1.0
Boscia_augustifolia,1.0
Commelina_africana,1.0
Cymbopogon_excavatus,1.0
Ficus_thonningii,1.0
Connochaetes_taurinus,2.0000000000000013
Senna_didymobotrya,1.0
Phacochoerus_africanus,2.0
Tragelaphus_oryx,2.0
Commiphora_merkeri,1.0
Digitaria_scalarum,1.0
Sansevieria_suffruticosa,1.0
Acacia_seyal,1.0
Crotalaria_spinosa,1.0
Eriochloa_nubica,1.0
Grewia_bicolor,1.0
Panicum_repens,1.0
Setaria_sphacelata,1.0
Emilia_coccinea,1.0
Commiphora_schimperi,1.0
Acinonyx_jubatus,3.0
Phyllanthus_sepialis,1.0
Canis_aureus,2.999999999999999
Digitaria_macroblephara,1.0
Eragrostis_exasperata,1.0
Themeda_triandra,1.0
Heteropogon_contortus,1.0
Iboza_spp.,1.0
Alcelaphus_buselaphus,2.0000000000000004
Aloe_macrosiphon,1.0
Cyphostemma_spp.,1.0
Euphorbia_candelabrum,1.0
Leptailurus_serval,3.0
Sporobolus_spicatus,1.0
Sporobolus_stapfianus,1.0
Brachiaria_semiundulata,1.0
Aloe_secundiflora,1.0
Chloris_roxburghiana,1.0
Ficus_glumosa,1.0
Grewia_trichocarpa,1.0
Aristida_spp.,1.0
Procavia_capensis,2.0000000000000004
Chloris_gayana,1.0
Balanites_aegyptiaca,1.0
Equus_quagga,1.9999999999999993
Kyllinga_nervosa,1.0
Pappea_capensis,1.0
Combretum_molle,1.0
Ourebia_ourebi,2.0
Andropogon_greenwayi,1.0
Acacia_xanthophloea,1.0
Indigofera_basiflora,1.0
Kalanchoe_spp.,1.0
Cordia_ovalis,1.0
Cyperus_spp.,1.0
Grewia_fallax,1.0
Lippia_ukambensis,1.0
Turraea_fischeri,1.0
Sporobolus_ioclados,1.0
Acacia_senegal,1.0
Eudorcas_thomsonii,2.0000000000000004
Sclerocarya_birrea,1.0
Cynodon_dactylon,1.0
Pavetta_assimilis,1.0
Cissus_quadrangularis,1.0
Digitaria_ternata,1.0
Jasminum_spp.,1.0
Kobus_ellipsiprymnus,1.9999999999999996
Madoqua_kirkii,2.0000000000000004
Pellaea_calomelanos,1.0
Ipomoea_obscura,1.0
Digitaria_velutina,1.0
Damaliscus_lunatus,1.9999999999999998
Sarga_versicolor,1.0
Diheteropogon_amplectens,1.0
Lycaon_pictus,3.0
Panthera_pardus,3.1818181818181817
Typha_capensis,1.0
Crocuta_crocuta,3.0000000000000013
Ximenia_caffra,1.0
